150.89.223.70,データの個数 / 150.89.223.70,,,,,,
150.89.131.67,2,,,,,,
150.89.214.18,33,,,,,,
150.89.217.43,6,,,,,,
150.89.217.88,6,,,,,,
150.89.223.118,4,,,,,,
150.89.223.123,12,,,,,,
150.89.223.70,1131,,,,,,
150.89.223.83,101,,,,,,
150.89.232.32,48,,,,,,
150.89.234.11,4,,,,,,
150.89.234.47,2,,,,,,
150.89.244.17,282,,,,,,
150.89.244.30,9,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,IPアドレス,回数,IPアドレス,回数
,,,,150.89.131.67,2,150.89.223.83,101
,,,,150.89.214.18,33,150.89.232.32,48
,,,,150.89.217.43,6,150.89.234.11,4
,,,,150.89.217.88,6,150.89.234.47,2
,,,,150.89.223.118,4,150.89.244.17,282
,,,,150.89.223.123,12,150.89.244.30,9
,,,,150.89.223.70,1131,,
